title	images	identifier	sentences	caption	caption_transf
How to Be Happy Being Yourself	https://www.wikihow.com/images/thumb/f/f6/Be-Happy-Being-Yourself-Step-3-Version-3.jpg/v4-460px-Be-Happy-Being-Yourself-Step-3-Version-3.jpg	rE261_3523	Practice gratitude in your daily life.	A woman holding a bottle of paint next to a flower pot.	A woman holding a tray of corn on a table.
How to Attain Nirvana	https://www.wikihow.com/images/thumb/6/64/Attain-Nirvana-Step-5-Version-3.jpg/v4-460px-Attain-Nirvana-Step-5-Version-3.jpg	rE274_3725	Have the right action.	A man holding a pair of black scissors in his hands.	A man holding a chain on a chain.
How to Attain Nirvana	https://www.wikihow.com/images/thumb/2/2f/Attain-Nirvana-Step-9.jpg/v4-460px-Attain-Nirvana-Step-9.jpg	rE274_3729	Focus your mind.	A man sitting on top of a wooden bench under a pink umbrella.	A man sitting on a bench next to a river.
How to Cook Adobong Manok	https://www.wikihow.com/images/thumb/2/20/Cook-Adobong-Manok-Step-9-Version-2.jpg/v4-460px-Cook-Adobong-Manok-Step-9-Version-2.jpg	wE296_4019	Cover and place the dish in the refrigerator.	A white bowl filled with food on top of a table.	a close up of a bowl of food on a table.
How to Serve Caviar	https://www.wikihow.com/images/thumb/a/a6/Serve-Caviar-Step-15.jpg/v4-460px-Serve-Caviar-Step-15.jpg	wE302_4116	Have caviar with vodka for a traditional combination.	a close up of a glass of water on a table	A glass filled with a glass of water on a table.
How to Serve Caviar	https://www.wikihow.com/images/thumb/8/85/Serve-Caviar-Step-17-Version-2.jpg/v4-460px-Serve-Caviar-Step-17-Version-2.jpg	wE302_4118	Use the spoon to place the caviar onto your tongue.	A black stuffed animal with a cherry picker in it's mouth.	A black and white photo of a person with black hair.
How to Make Embutido	https://www.wikihow.com/images/thumb/3/32/Make-Embutido-Step-6.jpg/v4-460px-Make-Embutido-Step-6.jpg	wE303_4125	Repeat the process to make one to three more logs.	A hot dog is wrapped in foil on a plate.	A sandwich on a plastic plate on a table.
How to Cook Taro Root	https://www.wikihow.com/images/thumb/6/66/Cook-Taro-Root-Step-4.jpg/v4-460px-Cook-Taro-Root-Step-4.jpg	wE304_4135	Make taro root fries.	a close up of a plate of food with fries	A plate of french fries sitting on a table.
How to Make Hung Curd	https://www.wikihow.com/images/thumb/c/c3/Make-Hung-Curd-Step-8.jpg/v4-460px-Make-Hung-Curd-Step-8.jpg	wE305_4149	Store in a bowl.	a close up of a bowl of food on a table	A white bowl filled with milk on a table.
How to Make a Dosa	https://www.wikihow.com/images/thumb/1/1d/Make-a-Dosa-Step-7.jpg/v4-460px-Make-a-Dosa-Step-7.jpg	wE312_4209	Check the batter.	A person pouring batter into a pan with a wooden spoon.	A person putting a bowl of food into a bowl.
How to Make Tabouli	https://www.wikihow.com/images/thumb/d/db/Make-Tabouli-Step-3-Version-2.jpg/v4-460px-Make-Tabouli-Step-3-Version-2.jpg	wE314_4239	Chop the vegetables.	A cutting board topped with a salad and a knife.	A bowl of salad on a table next to a plate of salad.
How to Make Greek Coffee	https://www.wikihow.com/images/thumb/9/9c/Make-Greek-Coffee-Step-3-Version-4.jpg/v4-460px-Make-Greek-Coffee-Step-3-Version-4.jpg	wE317_4275	Serve the coffee in a demitasse.	a close up of a cup on a plate on a table	A white plate with a cup of coffee on it.
How to Make Fishball Sauce (Street Style)	https://www.wikihow.com/images/thumb/e/e8/Make-Fishball-Sauce-%28Street-Style%29-Step-8-Version-3.jpg/v4-460px-Make-Fishball-Sauce-%28Street-Style%29-Step-8-Version-3.jpg	wE327_4398	Skewer the fish balls.	a close up of a plate of food on a table	A plate of chicken wings on a wooden table.
How to Make Spring Roll Wrappers	https://www.wikihow.com/images/thumb/0/01/Make-Spring-Roll-Wrappers-Step-11.jpg/v4-460px-Make-Spring-Roll-Wrappers-Step-11.jpg	wE330_4416	Heat the oil.	A person is dipping a red liquid into a black bowl.	A hand holding a red lipstick brush on top of a counter.
How to Make Bruschetta	https://www.wikihow.com/images/thumb/d/dc/Make-Bruschetta-Step-12-Version-3.jpg/v4-460px-Make-Bruschetta-Step-12-Version-3.jpg	wE334_4482	Wait 1 to 2 hours.	A white bowl filled with tomatoes on top of a table.	A bowl of salad on a table with a glass of water.
How to Cook Israeli Couscous	https://www.wikihow.com/images/thumb/8/8e/Cook-Israeli-Couscous-Step-18.jpg/v4-460px-Cook-Israeli-Couscous-Step-18.jpg	wE341_4567	Mix in the dried fruit and herbs.	a close up of a pan of food on a table	A pan filled with food on a table.
How to Cook Chicken Feet	https://www.wikihow.com/images/thumb/4/45/Cook-Chicken-Feet-Step-7.jpg/v4-460px-Cook-Chicken-Feet-Step-7.jpg	wE343_4585	Repeat as needed.	A bowl filled with food sitting on top of a table.	A person is cooking some food on a stove top.
How to Make Soy Sauce	https://www.wikihow.com/images/thumb/a/ad/Make-Soy-Sauce-Step-7.jpg/v4-460px-Make-Soy-Sauce-Step-7.jpg	wE347_4635	Transfer the koji mixture to a tray that's about 3 inches (7.6 cm) deep.	A white pastry sitting inside of a container.	A piece of bread in a pan on a table.
How to Make Indian Style Basmati Rice	https://www.wikihow.com/images/thumb/4/4c/Make-Indian-Style-Basmati-Rice-Step-21.jpg/v4-460px-Make-Indian-Style-Basmati-Rice-Step-21.jpg	wE350_4683	Add 2 1/2 cups of water to the pot.	a close up of a frying pan with food cooking in it	A pan filled with vegetables and a wooden spoon.
How to Cook Bamboo Shoots	https://www.wikihow.com/images/thumb/1/17/Cook-Bamboo-Shoots-Step-6.jpg/v4-460px-Cook-Bamboo-Shoots-Step-6.jpg	wE357_4762	Place the shoots in a pot.	A pan filled with hot dog buns sitting on top of a stove.	A bowl of food is being served on top of a wooden plate.
How to Make Sushi	https://www.wikihow.com/images/thumb/5/52/Make-Sushi-Step-20.jpg/v4-460px-Make-Sushi-Step-20.jpg	wE368_4910	Unroll the bamboo and remove the sushi.	a close up of a piece of food on a table	A dog laying on a wooden surface next to a towel.
How to Cook Bulgur	https://www.wikihow.com/images/thumb/b/b3/Cook-Bulgur-Step-12.jpg/v4-460px-Cook-Bulgur-Step-12.jpg	wE371_4945	Sauté 1/2 of a medium onion in 1 tbsp.	A pan filled with lots of shrimp on top of a stove.	A bowl of food is being cooked on a stove top.
How to Can Salsa	https://www.wikihow.com/images/thumb/a/a8/Can-Salsa-Step-1-Version-5.jpg/v4-460px-Can-Salsa-Step-1-Version-5.jpg	wE374_4981	Gather the ingredients.	A person cutting up vegetables on top of a cutting board.	A bowl of food on a table with a knife.
How to Make Jalebi	https://www.wikihow.com/images/thumb/1/11/Make-Jalebi-Step-13-Version-7.jpg/v4-460px-Make-Jalebi-Step-13-Version-7.jpg	wE376_5017	Heat the oil.	A wooden spoon sticking out of a wooden cutting board.	A fork sitting on top of a metal plate.
How to Make Salsa	https://www.wikihow.com/images/thumb/4/42/Make-Salsa-Step-38.jpg/v4-460px-Make-Salsa-Step-38.jpg	wE383_5107	Chop the fresh parsley, basil, mint, chervil and tarragon.	A wooden cutting board topped with greens and a knife.	a close up of a plate with a knife on it.
How to Make Salsa	https://www.wikihow.com/images/thumb/3/36/Make-Salsa-Step-47.jpg/v4-460px-Make-Salsa-Step-47.jpg	wE383_5116	Put the onions into the cooking pan.	A person holding a spoon over a bowl of food.	A person is cooking a sauce on top of a plate.
How to Make Italian Sausage	https://www.wikihow.com/images/thumb/0/03/Make-Italian-Sausage-Step-15.jpg/v4-460px-Make-Italian-Sausage-Step-15.jpg	wE386_5144	Place sausages in airtight plastic baggies.	A person holding a pair of scissors in a plastic container.	A person holding a bag of candy on top of a table.
How to Make Idli	https://www.wikihow.com/images/thumb/7/72/Make-Idli-Step-2.jpg/v4-460px-Make-Idli-Step-2.jpg	wE402_5262	Grind the soaked items separately.	A person pouring something into a pan with a wooden spoon.	A person holding a bowl of food on top of a counter.
How to Make Sushi Rice in a Rice Cooker	https://www.wikihow.com/images/thumb/8/87/Make-Sushi-Rice-in-a-Rice-Cooker-Step-4.jpg/v4-460px-Make-Sushi-Rice-in-a-Rice-Cooker-Step-4.jpg	wE403_5274	Let cold water run over the rice.	A metal bowl filled with white liquid sitting on top of a metal counter.	A kitchen sink with a large amount of water in it.
How to Cook Thai Food	https://www.wikihow.com/images/thumb/2/29/Cook-Thai-Food-Step-18.jpg/v4-460px-Cook-Thai-Food-Step-18.jpg	wE408_5345	Garnish the curry.	a close up of a plate of food with broccoli  on it	A plate of food with chicken and vegetables in it.
How to Make Chimichangas	https://www.wikihow.com/images/thumb/6/69/Make-Chimichangas-Step-3-Version-3.jpg/v4-460px-Make-Chimichangas-Step-3-Version-3.jpg	wE409_5360	Cook the meat with the onions and garlic.	A frying pan filled with meat and vegetables.	A pan filled with food on a cutting board.
How to Make Indian Bread	https://www.wikihow.com/images/thumb/a/a6/Make-Indian-Bread-Step-25.jpg/v4-460px-Make-Indian-Bread-Step-25.jpg	wE410_5396	Heat oil in a deep pan.	A person pouring a yellow liquid into a white bowl.	A person holding a bottle of wine on top of a table.
How to Make Mochi	https://www.wikihow.com/images/thumb/7/7d/Make-Mochi-Step-5.jpeg/v4-460px-Make-Mochi-Step-5.jpeg	wE411_5403	Cook the dough over medium heat while you stir in the sugar.	A white bowl filled with soup sitting on top of a stove.	A person is cooking a bowl of mashed potatoes.
How to Fold a Tortilla	https://www.wikihow.com/images/thumb/0/05/Fold-a-Tortilla-Step-11-Version-7.jpg/v4-460px-Fold-a-Tortilla-Step-11-Version-7.jpg	wE413_5420	Serve.	a close up of a plate of food on a table	A white plate with a lot of food on it.
How to Make Pupusas	https://www.wikihow.com/images/thumb/2/27/Make-Pupusas-Step-2-Version-4.jpg/v4-460px-Make-Pupusas-Step-2-Version-4.jpg	wE415_5442	Let the dough rest.	A bowl of batter with a spoon in it.	A blanket with a bowl of cereal on top of it.
How to Make Gnocchi	https://www.wikihow.com/images/thumb/c/cc/Make-Gnocchi-Step-10-Version-6.jpg/v4-460px-Make-Gnocchi-Step-10-Version-6.jpg	wE417_5489	Knead the mixture into a soft dough.	a person is making some kind of bread with cheese on it	A person is cutting a piece of bread on a table.
How to Make Onigiri Filling	https://www.wikihow.com/images/thumb/8/8d/Make-Onigiri-Filling-Step-9.jpg/v4-460px-Make-Onigiri-Filling-Step-9.jpg	wE422_5548	Flake the cooked salmon.	a close up of a bowl of food on a table	a close up of a bowl of food on a plate.
How to Make Nachos	https://www.wikihow.com/images/thumb/d/d9/Make-Nachos-Step-15-Version-2.jpg/v4-460px-Make-Nachos-Step-15-Version-2.jpg	wE431_5654	Coat the chips with butter.	A plastic container filled with a sandwich and chips.	A plate topped with a bowl of chips on a table.
How to Make Crepes	https://www.wikihow.com/images/thumb/1/1e/Make-Crepes-Step-13-Version-2.jpg/v4-460px-Make-Crepes-Step-13-Version-2.jpg	wE434_5686	Serve the crepes with a savory filling.	A pan filled with a pizza covered in bacon and eggs.	A pan filled with food on a baking sheet.
How to Make Burritos	https://www.wikihow.com/images/thumb/f/f1/Make-a-Quesadilla-Step-6.jpg/v4-460px-Make-a-Quesadilla-Step-6.jpg	wE437_5727	Steam or heat your flour burrito	Pizza cooking in a skillet on top of a stove.	A pan filled with food on a table.
How to Use Fenugreek Seeds	https://www.wikihow.com/images/thumb/5/55/Use-Fenugreek-Seeds-Step-16.jpg/v4-460px-Use-Fenugreek-Seeds-Step-16.jpg	wE440_5760	Grind the ingredients in the food processor.	a close up of a toilet with a stuffed animal inside of it	A picture of a bucket of food in a pot on a table.
How to Make Ayran (Turkish Yogurt Drink)	https://www.wikihow.com/images/thumb/5/59/Make-Ayran-%28Turkish-Yogurt-Drink%29-Step-6.jpg/v4-460px-Make-Ayran-%28Turkish-Yogurt-Drink%29-Step-6.jpg	wE444_5792	Serve.	A person holding a glass filled with liquid.	A person is holding a smoothie in their hand.
How to Make Palak Paneer	https://www.wikihow.com/images/thumb/5/5d/Make-Palak-Paneer-Step-8.jpg/v4-460px-Make-Palak-Paneer-Step-8.jpg	wE449_5859	Add salt, pepper, and garam masala to taste.	a close up of a bowl of food with broccoli	A bowl filled with broccoli and green vegetables.
How to Make Palak Paneer	https://www.wikihow.com/images/thumb/8/8c/Make-Palak-Paneer-Step-14.jpg/v4-460px-Make-Palak-Paneer-Step-14.jpg	wE449_5865	Gather the paneer curds in the cheese cloth and press into a rough square on a cutting board.	A hand is holding a piece of bread.	A person cutting a piece of fabric with scissors.
How to Make Oyster Sauce	https://www.wikihow.com/images/thumb/7/70/Make-Oyster-Sauce-Step-17.jpg/v4-460px-Make-Oyster-Sauce-Step-17.jpg	wE450_5883	Sauté the ginger.	A frying pan filled with food on top of a stove.	A loaf of bread sitting on top of a frying pan.
"How to Make ""Quick 'n Easy"" Nachos"	https://www.wikihow.com/images/thumb/4/4c/Make-%22Quick-%27n-Easy%22-Nachos-Step-18-Version-2.jpg/v4-460px-Make-%22Quick-%27n-Easy%22-Nachos-Step-18-Version-2.jpg	wE453_5933	Add some sauce.	A person holding a fork and knife over a plate of food.	A person sitting on top of a table with a bowl of food.
How to Freeze Salsa	https://www.wikihow.com/images/thumb/1/17/Freeze-Salsa-Step-18.jpg/v4-460px-Freeze-Salsa-Step-18.jpg	wE454_5951	Mix salsa into your enchiladas.	a close up of a plate of food on a table	a close up of a piece of food on a plate.
How to Make Indian Falooda	https://www.wikihow.com/images/thumb/9/90/Make-Indian-Falooda-Step-3-Version-3.jpg/v4-460px-Make-Indian-Falooda-Step-3-Version-3.jpg	wE458_6004	Heat milk and sugar.	A frying pan filled with oil with a wooden spoon.	A white dish with a spoon on top of it.
How to Fry Pot Stickers	https://www.wikihow.com/images/thumb/5/5d/Fry-Pot-Stickers-Step-7.jpg/v4-460px-Fry-Pot-Stickers-Step-7.jpg	wE466_6072	Add roughly three tablespoons of water to the pan or wok.	A pan filled with food on top of a stove.	A pan filled with bananas on a table.
How to Make Aloo Paratha	https://www.wikihow.com/images/thumb/4/48/Make-Alu-Paratha-Step-7.jpg/v4-460px-Make-Alu-Paratha-Step-7.jpg	wE468_6095	Fold the edges in wards like you do in a dumpling, ensuring that no filling is exposed.	A hand that is holding a pastry in it's palm.	A person holding a pastry in their hand.
How to Make Poppadoms	https://www.wikihow.com/images/thumb/e/ee/Make-Poppadoms-Step-10-Version-6.jpg/v4-460px-Make-Poppadoms-Step-10-Version-6.jpg	wE471_6140	Allow the poppadoms to cool completely.	A white plate topped with two pancakes and a bowl of syrup.	A bowl of pancakes sitting on a plate on a table.
How to Make Hungarian Goulash	https://www.wikihow.com/images/thumb/0/0c/Make-Hungarian-Goulash-Step-27.jpg/v4-460px-Make-Hungarian-Goulash-Step-27.jpg	wE474_6185	Add 2 tbsp.	a close up of a person pouring a liquid into a pan	A close up of a bowl of soup on top of a table.
How to Make Rice Paper	https://www.wikihow.com/images/thumb/e/e4/Make-Rice-Paper-Step-6.jpg/v4-460px-Make-Rice-Paper-Step-6.jpg	wE475_6193	Remove the rice paper.	A person is cutting up some food on a plate.	A person cutting a piece of bread on a plate.